"","STATE","DATE","POPULATION","NEWCONFIRMED","CUMCONFIRMED","NEWDEATHS","CUMDEATHS","UID","CODE3","SQMI","EVENT_CATG_S","SCORE","SHORT_DESCRIPT","RESTRICTIONS","PHASED_REOPENING","COUNTYLEVEL","FACECOVER_RQD","STUSAB","LATITUDE","LONGITUDE","STATEFP","GNISID","NEWCD_NORM_500","NEWDEATHS_NORM500","REGION"
"11823","MISSOURI",2021-03-08,6191231,517,567734,2,8516,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,4.17526013808885,0.0161518767430903,4
"11824","MISSOURI",2021-03-09,6191231,672,568406,109,8625,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,5.42703058567836,0.880277282498424,4
"11825","MISSOURI",2021-03-10,6191231,35,568441,12,8637,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,0.282657843004081,0.0969112604585421,4
"11826","MISSOURI",2021-03-11,6191231,477,568918,10,8647,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,3.85222260322705,0.0807593837154517,4
"11827","MISSOURI",2021-03-12,6191231,840,569758,8,8655,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,6.78378823209795,0.0646075069723614,4
"11828","MISSOURI",2021-03-13,6191231,750,570508,5,8660,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,6.05695377865888,0.0403796918577259,4
"11829","MISSOURI",2021-03-14,6191231,497,571005,0,8660,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,4.01374137065795,0,4
"11830","MISSOURI",2021-03-15,6191231,400,571405,1,8661,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,3.23037534861807,0.00807593837154517,4
"11831","MISSOURI",2021-03-16,6191231,669,572074,33,8694,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,5.40280277056372,0.266505966260991,4
"11832","MISSOURI",2021-03-17,6191231,770,572844,8,8702,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,6.21847254608978,0.0646075069723614,4
